Aluno,IPV Previsto,Atingirá o ponto de virada
Aluno 1,7.8267000000000095,Não
Aluno 2,7.623599999999999,Não
Aluno 3,9.504299999999999,Sim
Aluno 4,7.5,Não
Aluno 5,7.2466000000000035,Não
Aluno 6,6.389499999999997,Não
Aluno 7,7.789499999999992,Não
Aluno 8,7.781599999999985,Não
Aluno 9,6.89189999999999,Não
Aluno 10,6.923999999999999,Não
Aluno 11,7.279699999999983,Não
Aluno 12,7.39609999999999,Não
Aluno 13,9.723699999999997,Sim
Aluno 14,8.280299999999988,Não
Aluno 15,7.82890000000001,Não
Aluno 16,8.831900000000013,Sim
Aluno 17,7.745500000000002,Não
Aluno 18,8.441700000000013,Não
Aluno 19,8.833200000000014,Sim
Aluno 20,7.1447999999999965,Não
Aluno 21,9.095900000000004,Sim
Aluno 22,6.893099999999992,Não
Aluno 23,7.5,Não
Aluno 24,5.5615000000000006,Não
Aluno 25,7.429900000000006,Não
Aluno 26,7.8267000000000095,Não
Aluno 27,7.7470000000000026,Não
Aluno 28,5.422500000000003,Não
Aluno 29,9.313600000000013,Sim
Aluno 30,7.169199999999993,Não
Aluno 31,7.571999999999997,Não
Aluno 32,6.831700000000005,Não
Aluno 33,8.119499999999999,Não
Aluno 34,7.245400000000003,Não
Aluno 35,9.285799999999993,Sim
Aluno 36,5.999700000000001,Não
Aluno 37,7.706200000000008,Não
Aluno 38,6.501600000000001,Não
Aluno 39,7.608800000000009,Não
Aluno 40,8.386299999999995,Não
Aluno 41,6.8881999999999906,Não
Aluno 42,7.9974000000000025,Não
Aluno 43,7.7444000000000015,Não
Aluno 44,8.458700000000007,Não
Aluno 45,7.615300000000004,Não
Aluno 46,7.936700000000014,Não
Aluno 47,5.1627000000000045,Não
Aluno 48,8.899399999999995,Sim
Aluno 49,6.60520000000001,Não
Aluno 50,6.673299999999996,Não
Aluno 51,5.829600000000002,Não
Aluno 52,6.0005000000000015,Não
Aluno 53,4.814599999999995,Não
Aluno 54,6.933500000000005,Não
Aluno 55,7.5,Não
Aluno 56,8.441300000000014,Não
Aluno 57,6.776499999999985,Não
Aluno 58,7.560099999999985,Não
Aluno 59,8.39129999999999,Não
Aluno 60,7.82690000000001,Não
Aluno 61,7.561699999999985,Não
Aluno 62,6.831900000000006,Não
Aluno 63,7.935600000000014,Não
Aluno 64,7.704700000000008,Não
Aluno 65,4.6602,Não
Aluno 66,7.671599999999991,Não
Aluno 67,7.5,Não
Aluno 68,8.326900000000007,Não
Aluno 69,7.0731000000000055,Não
Aluno 70,6.7111,Não
Aluno 71,7.330000000000009,Não
Aluno 72,5.8278,Não
Aluno 73,8.157599999999993,Não
Aluno 74,9.106400000000011,Sim
Aluno 75,6.164599999999999,Não
Aluno 76,8.454400000000009,Não
Aluno 77,6.794099999999998,Não
Aluno 78,6.9340000000000055,Não
Aluno 79,7.923700000000001,Não
Aluno 80,5.790099999999993,Não
Aluno 81,5.267999999999993,Não
Aluno 82,8.580800000000005,Sim
Aluno 83,6.126500000000005,Não
Aluno 84,8.500200000000001,Sim
Aluno 85,7.053599999999991,Não
Aluno 86,7.39429999999999,Não
Aluno 87,7.245600000000004,Não
Aluno 88,4.804500000000004,Não
Aluno 89,7.060799999999987,Não
Aluno 90,7.788799999999993,Não
Aluno 91,6.286599999999997,Não
Aluno 92,9.087100000000014,Sim
Aluno 93,7.828400000000011,Não
Aluno 94,9.588700000000005,Sim
Aluno 95,6.618300000000004,Não
Aluno 96,4.483300000000003,Não
Aluno 97,7.329800000000009,Não
Aluno 98,6.671299999999994,Não
Aluno 99,7.560699999999985,Não
Aluno 100,6.0435,Não
Aluno 101,7.609300000000011,Não
Aluno 102,8.493400000000001,Sim
Aluno 103,8.060599999999983,Não
Aluno 104,5.831,Não
Aluno 105,7.780999999999982,Não
Aluno 106,7.445100000000001,Não
Aluno 107,7.880799999999996,Não
Aluno 108,6.932200000000006,Não
Aluno 109,6.60510000000001,Não
Aluno 110,9.162000000000003,Sim
Aluno 111,8.695400000000008,Sim
Aluno 112,4.039800000000004,Não
Aluno 113,7.41839999999999,Não
Aluno 114,7.5,Não
